;TAZID,CO_TAZID,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,CO_FIPS,CO_NAME,
1005,351005,282.8,641.4,2.27,290.7,37.3,1.2,252.2,336.0,6.5,30.8,0.0,1.2,123.0,0.2,2.3,126.7,0.0,0.0,16.2,29.1,47302.0,0,0,0,35,SALT LAKE,
1006,351006,319.8,732.4,2.29,22.8,7.8,0.0,14.9,55.9,3.0,4.8,0.0,0.0,4.8,0.0,2.6,7.5,0.0,0.0,0.0,33.1,47302.0,0,0,0,35,SALT LAKE,
1007,351007,243.4,588.8,2.42,156.5,59.6,0.2,96.7,244.4,22.7,36.9,0.0,0.2,33.2,0.0,19.0,44.5,0.0,0.0,63.0,25.0,47302.0,0,0,0,35,SALT LAKE,
1008,351008,270.0,648.5,2.40,116.4,77.4,3.0,36.0,144.4,44.0,33.4,3.0,0.0,12.4,0.0,1.3,22.3,0.0,0.0,0.0,28.0,47302.0,0,0,0,35,SALT LAKE,
1009,351009,445.1,1045.3,2.35,523.6,32.3,78.0,413.3,576.6,29.3,3.0,62.5,15.5,249.2,5.8,3.5,154.8,0.0,0.0,6.8,46.1,47302.0,0,0,0,35,SALT LAKE,
1010,351010,478.9,1139.7,2.38,258.8,37.2,9.8,211.8,313.4,30.9,6.3,3.7,6.2,93.3,1.5,1.8,115.2,0.0,0.0,4.8,49.8,47302.0,0,0,0,35,SALT LAKE,
1011,351011,556.8,1310.4,2.35,238.9,18.6,2.2,218.1,332.4,14.3,4.3,0.8,1.3,49.9,0.2,20.2,147.8,0.0,0.0,35.8,57.7,47302.0,6,0,0,35,SALT LAKE,
1012,351012,527.0,1206.3,2.29,122.6,28.0,0.5,94.1,197.2,24.3,3.7,0.2,0.3,18.2,0.2,37.6,38.1,0.0,0.0,20.0,54.6,47302.0,0,0,0,35,SALT LAKE,
1013,351013,490.0,1168.4,2.38,581.0,65.2,74.3,441.5,859.0,63.5,1.7,74.2,0.2,41.6,0.5,309.3,90.0,0.0,0.0,227.2,50.8,47302.0,0,0,0,35,SALT LAKE,
1014,351014,75.4,183.3,2.43,437.9,288.3,0.0,149.6,445.6,174.6,113.7,0.0,0.0,32.0,0.2,19.5,98.0,0.0,0.0,0.0,7.7,47302.0,0,0,0,35,SALT LAKE,
1015,351015,0.0,0.0,0.00,666.0,2.0,3.0,661.0,666.0,2.0,0.0,0.0,3.0,19.2,401.0,0.0,240.8,0.0,0.0,0.0,0.0,15646.0,0,0,0,35,SALT LAKE,
1016,351016,47.2,113.7,2.41,366.5,19.3,6.0,341.2,371.6,0.2,19.2,6.0,0.0,80.7,0.0,4.8,255.6,0.0,0.0,0.0,5.1,15646.0,0,0,0,35,SALT LAKE,
1017,351017,63.1,141.4,2.24,577.9,449.3,0.5,128.1,584.3,426.8,22.5,0.0,0.5,48.9,0.0,10.5,68.8,0.0,0.0,0.0,6.4,15646.0,0,0,0,35,SALT LAKE,
1018,351018,354.2,495.5,1.40,1185.1,42.2,14.2,1128.8,1221.9,13.8,28.3,8.0,6.2,112.3,735.5,15.3,265.7,0.0,0.0,0.0,36.8,15646.0,0,0,0,35,SALT LAKE,
1019,351019,243.1,398.5,1.64,417.7,3.5,1.0,413.3,442.9,3.2,0.3,1.0,0.0,246.5,55.0,22.2,89.6,0.0,0.0,0.0,25.1,15646.0,0,0,0,35,SALT LAKE,
1020,351020,115.8,279.5,2.41,369.5,106.5,2.2,260.8,381.5,46.0,60.5,0.2,2.0,66.1,1.0,31.7,162.0,0.0,0.0,0.0,12.0,15646.0,0,0,0,35,SALT LAKE,
1021,351021,506.5,845.7,1.67,101.9,8.8,0.0,93.1,154.6,8.0,0.8,0.0,0.0,14.5,0.0,7.8,70.8,0.0,0.0,0.0,52.7,15646.0,0,0,0,35,SALT LAKE,
1022,351022,99.4,202.7,2.04,7.8,1.0,0.0,6.8,18.4,0.2,0.8,0.0,0.0,4.0,0.0,0.3,2.5,0.0,0.0,0.0,10.6,27592.0,0,0,0,35,SALT LAKE,
1023,351023,232.8,429.8,1.85,446.6,76.5,46.3,323.7,480.7,58.5,18.0,46.0,0.3,39.6,59.2,81.3,143.7,0.0,0.0,10.0,24.2,15646.0,196,196,0,35,SALT LAKE,
1024,351024,296.7,596.4,2.01,247.6,51.0,35.8,160.8,278.5,42.8,8.2,0.3,35.5,72.0,1.0,9.1,78.7,0.0,0.0,0.0,30.8,22632.0,0,0,0,35,SALT LAKE,
1025,351025,466.9,1037.4,2.22,60.0,8.5,9.7,41.8,108.6,8.0,0.5,6.0,3.7,8.0,0.7,0.2,33.0,0.0,0.0,0.0,48.6,27592.0,0,0,0,35,SALT LAKE,
1026,351026,48.8,107.6,2.21,526.0,65.6,255.9,204.5,531.0,27.6,37.9,14.0,242.0,117.3,22.1,1.3,63.8,0.0,0.0,0.0,5.0,39739.0,0,0,0,35,SALT LAKE,
1027,351027,8.2,21.7,2.66,2147.1,62.8,1397.1,687.2,2148.1,21.3,41.4,508.0,889.1,214.4,238.1,10.5,224.2,0.0,0.0,0.0,1.0,39739.0,0,0,0,35,SALT LAKE,
1028,351028,173.4,398.6,2.30,920.0,24.0,108.6,787.4,939.8,23.3,0.7,68.8,39.8,180.1,12.0,267.9,327.4,0.0,0.0,1.8,17.9,39739.0,0,0,0,35,SALT LAKE,
1029,351029,0.0,0.0,0.00,213.5,24.1,144.7,44.7,498.6,22.7,1.5,119.5,25.2,16.7,6.5,0.3,21.1,0.0,285.1,0.0,0.0,98944.0,0,0,0,35,SALT LAKE,
1030,351030,295.9,704.3,2.38,57.8,1.8,9.3,46.6,99.5,1.5,0.3,0.8,8.5,0.0,5.7,0.3,40.6,0.0,0.0,10.9,30.8,98944.0,0,0,0,35,SALT LAKE,
1031,351031,311.9,598.7,1.92,0.0,0.0,0.0,0.0,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,32.4,98944.0,0,0,0,35,SALT LAKE,
1032,351032,873.4,2059.4,2.36,223.0,0.7,1.0,221.3,346.2,0.2,0.5,0.7,0.3,77.6,80.3,13.1,50.3,0.0,0.0,32.7,90.5,138363.0,0,0,0,35,SALT LAKE,
1033,351033,226.3,556.4,2.46,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,171004.0,0,0,0,35,SALT LAKE,
1034,351034,484.6,1085.4,2.24,137.7,2.3,5.5,129.9,232.3,0.2,2.1,4.5,1.0,31.4,4.3,71.2,23.0,0.0,0.0,44.5,50.1,43081.0,0,0,0,35,SALT LAKE,
1035,351035,818.7,1926.4,2.35,958.6,37.0,2.8,918.8,1043.5,29.3,7.6,1.3,1.5,599.6,9.2,2.0,308.1,0.0,0.0,0.0,84.9,43081.0,0,0,0,35,SALT LAKE,
1036,351036,253.3,569.5,2.25,340.5,5.3,245.5,89.7,379.9,4.0,1.3,2.5,243.0,32.9,5.6,27.2,24.0,0.0,0.0,13.0,26.4,42755.0,0,0,0,35,SALT LAKE,
1037,351037,465.5,1120.2,2.41,360.5,27.3,70.0,263.2,411.9,22.0,5.3,13.7,56.3,114.4,9.2,10.1,129.5,0.0,0.0,3.3,48.0,43081.0,0,0,0,35,SALT LAKE,
1038,351038,857.8,2036.9,2.37,689.6,49.0,21.5,619.1,787.7,23.3,25.7,10.8,10.7,296.3,124.5,4.9,193.4,0.0,0.0,9.3,88.8,41835.0,0,1191,1191,35,SALT LAKE,
1039,351039,536.9,944.8,1.76,297.6,15.0,19.0,263.7,353.5,14.0,1.0,4.5,14.5,95.7,14.6,11.5,141.8,0.0,0.0,0.0,55.8,55510.0,0,0,0,35,SALT LAKE,
1040,351040,473.8,852.6,1.80,345.9,22.6,12.0,311.2,395.9,18.6,4.0,2.0,10.0,118.4,47.5,6.0,139.4,0.0,0.0,0.8,49.2,13733.0,789,0,0,35,SALT LAKE,
1041,351041,572.3,954.1,1.67,122.4,22.7,41.0,58.8,181.8,22.7,0.0,24.8,16.2,18.0,1.0,4.2,35.6,0.0,0.0,0.0,59.4,64537.0,0,0,0,35,SALT LAKE,
1042,351042,0.0,0.0,0.00,1265.8,2.8,9.7,1253.3,1265.8,2.8,0.0,1.2,8.5,19.5,768.5,0.0,465.3,0.0,0.0,0.0,0.0,64537.0,0,0,0,35,SALT LAKE,
