;TAZID,CO_TAZID,TOTHH,TOTEMP,DevAcres,HHDen_50,EMPDen_50
511,110511,744,7,255.85,2.91,0.03
512,110512,979,4609,402.33,2.43,11.46
513,110513,3685,5045,345.15,10.68,14.62
514,110514,834,311,238.48,3.50,1.31
515,110515,2063,1416,286.45,7.20,4.94
516,110516,1247,437,1139.33,1.09,0.38
517,110517,723,86,390.87,1.85,0.22
518,110518,101,1722,271.24,0.37,6.35
519,110519,588,24,428.92,1.37,0.06
520,110520,440,782,421.61,1.04,1.85
521,110521,360,18,486.07,0.74,0.04
522,110522,583,283,489.40,1.19,0.58
523,110523,830,275,657.55,1.26,0.42
524,110524,1351,1616,119.99,11.26,13.47
525,110525,2263,1233,308.42,7.34,4.00
526,110526,2556,5618,344.24,7.43,16.32
527,110527,3612,10321,347.40,10.40,29.71
528,110528,2170,841,451.03,4.81,1.86
529,110529,814,1055,580.35,1.40,1.82
530,110530,2255,1066,479.74,4.70,2.22
531,110531,436,119,191.55,2.27,0.62
532,110532,953,91,374.29,2.55,0.24
533,110533,1153,35,465.56,2.48,0.08
534,110534,1205,151,552.62,2.18,0.27
535,110535,1969,987,680.78,2.89,1.45
536,110536,482,18,371.22,1.30,0.05
537,110537,577,18,361.24,1.60,0.05
538,110538,932,403,216.06,4.31,1.86
539,110539,949,1581,207.09,4.58,7.63
540,110540,439,1132,73.49,5.97,15.40
541,110541,1759,725,286.55,6.14,2.53
542,110542,2104,698,836.78,2.51,0.83
543,110543,1872,565,434.59,4.31,1.30
544,110544,1891,452,860.32,2.20,0.53
545,110545,984,2695,424.82,2.32,6.34
546,110546,2214,86,665.68,3.33,0.13
547,110547,900,4,385.06,2.34,0.01
548,110548,841,468,237.48,3.54,1.97
549,110549,823,739,256.83,3.20,2.88
550,110550,643,183,270.15,2.38,0.68
551,110551,501,1735,302.45,1.66,5.74
552,110552,668,465,380.93,1.75,1.22
553,110553,1432,175,849.31,1.69,0.21
554,110554,919,171,456.63,2.01,0.37
555,110555,1234,192,438.75,2.81,0.44
556,110556,605,580,359.85,1.68,1.61
557,110557,944,96,277.07,3.41,0.35
558,110558,888,521,361.52,2.46,1.44
559,110559,560,101,353.40,1.58,0.29
560,110560,105,1071,179.99,0.58,5.95
561,110561,373,24,248.18,1.50,0.10
562,110562,17,4583,196.52,0.09,23.32
563,110563,1437,1170,953.34,1.51,1.23
564,110564,3171,5336,453.01,7.00,11.78
565,110565,227,4024,179.19,1.27,22.45
566,110566,574,60,657.32,0.87,0.09
567,110567,528,97,509.06,1.04,0.19
568,110568,454,1487,498.03,0.91,2.99
569,110569,3,0,385.02,0.01,0.00
570,110570,433,2749,218.28,1.98,12.59
571,110571,273,1610,199.39,1.37,8.07
572,110572,277,275,119.68,2.32,2.30
573,110573,457,4,198.33,2.31,0.02
574,110574,441,2,187.63,2.35,0.01
575,110575,21,9,361.88,0.06,0.03
576,110576,21,3635,306.39,0.07,11.86
577,110577,191,3509,539.54,0.35,6.50
578,110578,758,3,344.04,2.20,0.01
579,110579,577,130,216.48,2.66,0.60
580,110580,653,9,209.41,3.12,0.04
581,110581,454,22,205.56,2.21,0.11
582,110582,452,84,186.50,2.42,0.45
583,110583,608,122,210.19,2.89,0.58
584,110584,234,10,279.40,0.84,0.03
585,110585,449,1686,154.97,2.90,10.88
586,110586,0,772,122.50,0.00,6.30
587,110587,30,11,284.75,0.10,0.04
588,110588,764,30,405.14,1.89,0.07
